index,entry,combineScore,trueLabel
11.0,<entry1>  [Singapore] WrAR - Johnny Stimson - Material Things [Clicks] - P1 - R - 0062L00000VIrjPQAT  <entry2> <artistName>  nan  <trackName>  nan,0.0,0.0
18.0,<entry1>  Joel Corry - I wish - Drive Traffic To Website  <entry2> <artistName>  Raf  <trackName>  Self Control,0.75,0.0
19.0,<entry1>  Joel Corry - I wish - Drive Traffic To Website  <entry2> <artistName>  Joe  <trackName>  Love Centric,0.79,0.0
20.0,<entry1>  Joel Corry - I wish - Drive Traffic To Website  <entry2> <artistName>  Cor  <trackName>  Doe Dit,0.715,0.0
21.0,<entry1>  Joel Corry - I wish - Drive Traffic To Website  <entry2> <artistName>  RA  <trackName>  Hop Wei Boys,0.74,0.0
22.0,<entry1>  Joel Corry - I wish - Drive Traffic To Website  <entry2> <artistName>  Joe  <trackName>  Stutter,0.73,0.0
23.0,<entry1>  Joel Corry - I wish - Drive Traffic To Website  <entry2> <artistName>  Joelma  <trackName>  Sim,0.67,0.0
24.0,<entry1>  Joel Corry - I wish - Drive Traffic To Website  <entry2> <artistName>  Joe  <trackName>  Take It to the House,0.735,0.0
25.0,<entry1>  Joel Corry - I wish - Drive Traffic To Website  <entry2> <artistName>  RA  <trackName>  Jacob's Story,0.69,0.0
26.0,<entry1>  Joel Corry - I wish - Drive Traffic To Website  <entry2> <artistName>  Joe  <trackName>  Lean Into It,0.75,0.0
28.0,<entry1>  [SC] Rod Stewart - The Tears of Hercules - PO - OCT 2021  <entry2> <artistName>  War  <trackName>  War,0.0,0.0
29.0,<entry1>  [SC] Rod Stewart - The Tears of Hercules - PO - OCT 2021  <entry2> <artistName>  WAR  <trackName>  War,0.0,0.0
30.0,<entry1>  [SC] Rod Stewart - The Tears of Hercules - PO - OCT 2021  <entry2> <artistName>  Rod Stewart  <trackName>  The Blues,0.835,0.0
31.0,<entry1>  [SC] Rod Stewart - The Tears of Hercules - PO - OCT 2021  <entry2> <artistName>  210  <trackName>  210,0.0,0.0
32.0,<entry1>  [SC] Rod Stewart - The Tears of Hercules - PO - OCT 2021  <entry2> <artistName>  Rod Stewart  <trackName>  Three Time Loser,0.81,0.0
33.0,<entry1>  [SC] Rod Stewart - The Tears of Hercules - PO - OCT 2021  <entry2> <artistName>  Rod Stewart  <trackName>  Ten Days Of Rain,0.78,0.0
34.0,<entry1>  [SC] Rod Stewart - The Tears of Hercules - PO - OCT 2021  <entry2> <artistName>  The Trews  <trackName>  The Pearl,0.78,0.0
35.0,<entry1>  [SC] Rod Stewart - The Tears of Hercules - PO - OCT 2021  <entry2> <artistName>  Rod Stewart  <trackName>  Tear It Up,0.8,0.0
36.0,<entry1>  [SC] Rod Stewart - The Tears of Hercules - PO - OCT 2021  <entry2> <artistName>  Rod Stewart  <trackName>  Heart Is On The Line,0.775,0.0
38.0,<entry1>  [SC] Bushido - Bushido - ALB - Nov 2021  <entry2> <artistName>  210  <trackName>  210,0.0,0.0
39.0,<entry1>  [SC] Bushido - Bushido - ALB - Nov 2021  <entry2> <artistName>  Khid  <trackName>  Ohi,0.71,0.0
40.0,<entry1>  [SC] Bushido - Bushido - ALB - Nov 2021  <entry2> <artistName>  Bush  <trackName>  Insect Kin,0.605,0.0
41.0,<entry1>  [SC] Bushido - Bushido - ALB - Nov 2021  <entry2> <artistName>  Bush  <trackName>  The Edge Of Love,0.655,0.0
42.0,<entry1>  [SC] Bushido - Bushido - ALB - Nov 2021  <entry2> <artistName>  Sia  <trackName>  Tour Bus,0.41500000000000004,0.0
43.0,<entry1>  [SC] Bushido - Bushido - ALB - Nov 2021  <entry2> <artistName>  210  <trackName>  117,0.65,0.0
44.0,<entry1>  [SC] Bushido - Bushido - ALB - Nov 2021  <entry2> <artistName>  Bush  <trackName>  Alien,0.7,0.0
45.0,<entry1>  [SC] Bushido - Bushido - ALB - Nov 2021  <entry2> <artistName>  Bush  <trackName>  Float,0.6,0.0
46.0,<entry1>  [SC] Bushido - Bushido - ALB - Nov 2021  <entry2> <artistName>  Bush  <trackName>  The Kingdom,0.6799999999999999,0.0
47.0,<entry1>  [VD] Carlota Mad - explicita - SGL - NOV 2021  <entry2> <artistName>  210  <trackName>  210,0.0,0.0
48.0,<entry1>  [VD] Carlota Mad - explicita - SGL - NOV 2021  <entry2> <artistName>  ARLO  <trackName>  Lucid,0.8,0.0
49.0,<entry1>  [VD] Carlota Mad - explicita - SGL - NOV 2021  <entry2> <artistName>  ARLO  <trackName>  Nomad,0.8,0.0
50.0,<entry1>  [VD] Carlota Mad - explicita - SGL - NOV 2021  <entry2> <artistName>  ALMA  <trackName>  Mama,0.625,0.0
51.0,<entry1>  [VD] Carlota Mad - explicita - SGL - NOV 2021  <entry2> <artistName>  Charo  <trackName>  La Mojada,0.7350000000000001,0.0
52.0,<entry1>  [VD] Carlota Mad - explicita - SGL - NOV 2021  <entry2> <artistName>  Carlos  <trackName>  La Smala,0.725,0.0
53.0,<entry1>  [VD] Carlota Mad - explicita - SGL - NOV 2021  <entry2> <artistName>  Carlo  <trackName>  Got Ya,0.835,0.0
54.0,<entry1>  [VD] Carlota Mad - explicita - SGL - NOV 2021  <entry2> <artistName>  Riot  <trackName>  Narita,0.625,0.0
55.0,<entry1>  [VD] Carlota Mad - explicita - SGL - NOV 2021  <entry2> <artistName>  210  <trackName>  Adult,0.6000000000000001,0.0
56.0,<entry1>  [VD] Carlota Mad - explicita - SGL - NOV 2021  <entry2> <artistName>  Lot  <trackName>  Darth Vader,0.775,0.0
57.0,<entry1>  [SC] Bruno Mars (Silk Sonic) - An Evening With Silk Sonic  - PO - NOV 2021  <entry2> <artistName>  Mars  <trackName>  Bionic,0.835,0.0
58.0,<entry1>  [SC] Bruno Mars (Silk Sonic) - An Evening With Silk Sonic  - PO - NOV 2021  <entry2> <artistName>  Bruno Mars  <trackName>  Who Is,0.665,0.0
59.0,<entry1>  [SC] Bruno Mars (Silk Sonic) - An Evening With Silk Sonic  - PO - NOV 2021  <entry2> <artistName>  210  <trackName>  210,0.0,0.0
60.0,<entry1>  [SC] Bruno Mars (Silk Sonic) - An Evening With Silk Sonic  - PO - NOV 2021  <entry2> <artistName>  Bruno Mars  <trackName>  The Lazy Song,0.73,0.0
61.0,<entry1>  [SC] Bruno Mars (Silk Sonic) - An Evening With Silk Sonic  - PO - NOV 2021  <entry2> <artistName>  Bruno Mars  <trackName>  Dancing with the Stars,0.775,0.0
62.0,<entry1>  [SC] Bruno Mars (Silk Sonic) - An Evening With Silk Sonic  - PO - NOV 2021  <entry2> <artistName>  Mars  <trackName>  Come With Me,0.75,0.0
63.0,<entry1>  [SC] Bruno Mars (Silk Sonic) - An Evening With Silk Sonic  - PO - NOV 2021  <entry2> <artistName>  Bruno Mars  <trackName>  It Will Rain,0.75,0.0
64.0,<entry1>  [SC] Bruno Mars (Silk Sonic) - An Evening With Silk Sonic  - PO - NOV 2021  <entry2> <artistName>  Mars  <trackName>  Look On Her Face,0.75,0.0
65.0,<entry1>  [SC] Bruno Mars (Silk Sonic) - An Evening With Silk Sonic  - PO - NOV 2021  <entry2> <artistName>  Mars  <trackName>  Let It Show,0.725,0.0
66.0,"<entry1>  [SC] Bruno Mars (Silk Sonic) - An Evening With Silk Sonic  - PO - NOV 2021  <entry2> <artistName>  Diana Kovaľová, Martin Schreiner, Giovanni Ricci, Julia Kramárová, Timotej Májský, Lucie Bikárová, Dominika Lukešová, Michal Šafrata, Esther Lubadika, Barbora Piešová  <trackName>  The Scientist",0.405,0.0
67.0,<entry1>  Neil Young Barn Album_Crazy Horse Heading West_Youtube_InStream Ad_awareness  <entry2> <artistName>  Neil Young  <trackName>  Alabama / Campaigner / Ohio / The Times They Are A-Changin’ / Lookin' for a Leader – 2020 / Southern Man / Little Wing (Medley),0.64,0.0
71.0,<entry1>  Neil Young Barn Album_Crazy Horse Heading West_Youtube_InStream Ad_awareness  <entry2> <artistName>  ORS  <trackName>  Intro,0.8,0.0
72.0,<entry1>  Neil Young Barn Album_Crazy Horse Heading West_Youtube_InStream Ad_awareness  <entry2> <artistName>  Neil Young  <trackName>  Intro,0.8,0.0
