index,entry,combineScore,trueLabel
7.0,<entry1>  2021 The War On Drugs - I Don't Live Here Anymore  <entry2> <artistName>  The War On Drugs  <trackName>  I Don't Live Here Anymore,1.0,1.0
8.0,<entry1>  2021 The War On Drugs - I Don't Live Here Anymore  <entry2> <artistName>  The War On Drugs  <trackName>  I Don’t Live Here Anymore (Live Performance Session),0.964,1.0
17.0,<entry1>  WrRE - Gang of Youths - The Man Himself - P1 - R - 0062L00000VIUsuQAH [United States]  <entry2> <artistName>  Gang Of Youths  <trackName>  the man himself,1.0,1.0
37.0,<entry1>  Jireel - Dagar i regn  <entry2> <artistName>  Jireel  <trackName>  Dagar i regn,1.0,1.0
47.0,<entry1>  2021 Ed Sheeran - Overpass Graffiti  <entry2> <artistName>  Ed Sheeran  <trackName>  Overpass Graffiti,1.0,1.0
48.0,<entry1>  2021 Ed Sheeran - Overpass Graffiti  <entry2> <artistName>  Ed Sheeran  <trackName>  Overpass Graffiti (Alle Farben Extended Remix),0.982,1.0
49.0,<entry1>  2021 Ed Sheeran - Overpass Graffiti  <entry2> <artistName>  Ed Sheeran  <trackName>  Overpass Graffiti (TCTS Remix),0.982,1.0
50.0,<entry1>  2021 Ed Sheeran - Overpass Graffiti  <entry2> <artistName>  Ed Sheeran  <trackName>  Overpass Graffiti (TCTS Extended Remix),0.982,1.0
51.0,<entry1>  2021 Ed Sheeran - Overpass Graffiti  <entry2> <artistName>  Ed Sheeran  <trackName>  Overpass Graffiti (Alle Farben Remix),0.982,1.0
67.0,<entry1>  BgBt - Minelli - Nothing Hurts - P1 - R - 0062L00000WCtOTQA1 [United States]  <entry2> <artistName>  Minelli  <trackName>  Nothing Hurts,1.0,1.0
69.0,<entry1>  Atln - Kenndog - Beethoven (Remix feat. YN Jay) - P1 - R - 0062L00000VJPbgQAH [Global]  <entry2> <artistName>  Kenndog  <trackName>  Beethoven,1.0,1.0
70.0,<entry1>  [Discovery] WrRE - Benson Boone - GHOST TOWN [Respend] - P2 - R - 0062L00000WCZgpQAH [United States]  <entry2> <artistName>  Benson Boone  <trackName>  Ghost Town,1.0,1.0
72.0,<entry1>  [InStream] WrRE - Benson Boone - GHOST TOWN [Respend] - P2 - R - 0062L00000WCZgpQAH [United States]  <entry2> <artistName>  Benson Boone  <trackName>  Ghost Town,1.0,1.0
