index,entry,combineScore,trueLabel
131.0,<entry1>  [A] WrNa - Warner Music Nashville - November YouTube Campaigns - P1 - R - 0062L00000WCWyiQAH  <entry2> <artistName>  gnash  <trackName>  us,0.92,0.0
221.0,<entry1>  Neil Young Barn Album_CrazyHorse SongOfTheSeasons_Youtube_InStream Ad_awareness  <entry2> <artistName>  ORS  <trackName>  Go,1.0,0.0
222.0,<entry1>  Neil Young Barn Album_CrazyHorse SongOfTheSeasons_Youtube_InStream Ad_awareness  <entry2> <artistName>  Sea  <trackName>  Go,1.0,0.0
223.0,<entry1>  Neil Young Barn Album_CrazyHorse SongOfTheSeasons_Youtube_InStream Ad_awareness  <entry2> <artistName>  Neil Young  <trackName>  Crazy,1.0,0.0
251.0,"<entry1>  N006347 iZaak x  Jay Wheeler  """"El Finde""""- Google Pre Roll Campaign- GOOGLE 4.5K  <entry2> <artistName>  Rampa  <trackName>  Roll",0.92,0.0
252.0,"<entry1>  N006347 iZaak x  Jay Wheeler  """"El Finde""""- Google Pre Roll Campaign- GOOGLE 4.5K  <entry2> <artistName>  Rampa  <trackName>  Ay",0.92,0.0
460.0,<entry1>  N006396- Blessd Medallo -Pre Roll Campaign  Google 5k  <entry2> <artistName>  Rampa  <trackName>  Roll,0.92,0.0
680.0,<entry1>  David Bowie - Starman (reach) RH  <entry2> <artistName>  David Bowie  <trackName>  Star,1.0,0.0
791.0,<entry1>  DOM_DGerrard_Magic_ppe-youtube_12Nov2021  <entry2> <artistName>  210  <trackName>  Tub,0.92,0.0
1210.0,<entry1>  [FB - Bruno Mars] WrNz - Silk Sonic - Album - P1 - R - 0062L00000WCcoNQAT [New Zealand]  <entry2> <artistName>  Zeana  <trackName>  Run,0.92,0.0
1260.0,<entry1>  Big Beat: Atlantic Chill - Nostalgic Memory [Q4 2021]  IG Boosted - P1 - R - 0062L00000VJ6zpQAD [USA]  <entry2> <artistName>  Tai Chi  <trackName>  Lan,0.944,0.0
1410.0,<entry1>  Instagram post: 🐐 @ckay_yo  <entry2> <artistName>  Rampa  <trackName>  Ay,0.92,0.0
1711.0,<entry1>  FOALS - Wake Me Up (Track)_Facebook_Feed Ad_clicks  <entry2> <artistName>  KSI  <trackName>  ok,0.92,0.0
1770.0,<entry1>  Heidi Klum - Wonderland_Facebook_Feed Ad_clicks  <entry2> <artistName>  KSI  <trackName>  ok,0.92,0.0
2140.0,<entry1>  2615 | WMA ADS | EC | Black Friday 2021 | P0TBC__Conversions  <entry2> <artistName>  FRIDAY  <trackName>  21,1.0,0.0
2582.0,<entry1>  Lil Uzi Vert - Demon High #2_TikTok_Promoted Post_clicks  <entry2> <artistName>  KSI  <trackName>  ok,0.92,0.0
2583.0,<entry1>  Lil Uzi Vert - Demon High #2_TikTok_Promoted Post_clicks  <entry2> <artistName>  LemON  <trackName>  Po,0.92,0.0
2682.0,<entry1>  Malou - Let You Go_TikTok_In-Feed Ad_clicks  <entry2> <artistName>  KSI  <trackName>  ok,0.92,0.0
2701.0,<entry1>  JC Stewart - DSYLM FLight 3_TikTok_In-Feed Ad_clicks  <entry2> <artistName>  KSI  <trackName>  ok,0.92,0.0
2831.0,<entry1>  Warner Music Canada - Montreal - Amir - Ressources [Deluxe] - P1 - R - 0062L00000WCpy3QAD  <entry2> <artistName>  of Montreal  <trackName>  Montreal,0.9279999999999999,0.0
2988.0,<entry1>  DOM_Luss_4th_ppe-youtube_13Nov2021_youtube_fb_artist_nfm_vdo-tease1  <entry2> <artistName>  USS  <trackName>  Us,1.0,0.0
2991.0,<entry1>  Kelly Clarkson Birthday Campaign  <entry2> <artistName>  Rampa  <trackName>  Ay,0.92,0.0
3051.0,<entry1>  [INTL] PINK SWEAT$ NOTHING FEELS BETTER  <entry2> <artistName>  Pink  <trackName>  Feel,1.0,0.0
3062.0,<entry1>  [INTL] COLDPLAY ED SHEERAN FIX YOU  <entry2> <artistName>  Ay Em  <trackName>  LA,0.92,0.0
3073.0,<entry1>  [INTL] SILK SONIC SMOKIN OUT THE WINDOW REELS  <entry2> <artistName>  LSP  <trackName>  OK,0.92,0.0
3079.0,<entry1>  [INTL] SILK SONIC SMOKIN OUT THE WINDOW REELS  <entry2> <artistName>  SIL  <trackName>  Windows (Ralvero Remix),0.928,0.0
3080.0,<entry1>  [INTL] SILK SONIC SMOKIN OUT THE WINDOW REELS  <entry2> <artistName>  Sil  <trackName>  Windows (Ralvero Remix),0.928,0.0
3203.0,<entry1>  Falco Emotional Deluxe - Out Now - Pre Rolls_Facebook_Feed Ad_clicks  <entry2> <artistName>  KSI  <trackName>  ok,0.92,0.0
3211.0,<entry1>  Amazon Falco Emotional Deluxe - Out Now - Amazon_Pre Rolls_Facebook_Feed Ad_engagement2  <entry2> <artistName>  T2  <trackName>  OK,1.0,0.0
3462.0,<entry1>  BgBt - Atlantic Chill - Atlantic Chill [Q4] - P1 - R - 0062L00000VJ6zpQAD [Nostalgic Memory - USA]  <entry2> <artistName>  Tai Chi  <trackName>  Lan,0.944,0.0
3552.0,<entry1>  [Long Beatz - Voodoo] Tráfego Youtube - 13.11.2021  <entry2> <artistName>  210  <trackName>  Tub,0.92,0.0
3582.0,<entry1>  Tom Petty // Doku YouTube Launch // Promoted Post_Facebook_Promoted Post_clicks  <entry2> <artistName>  Motel  <trackName>  Aun,0.92,0.0
3583.0,<entry1>  Tom Petty // Doku YouTube Launch // Promoted Post_Facebook_Promoted Post_clicks  <entry2> <artistName>  KSI  <trackName>  ok,0.92,0.0
3741.0,<entry1>  WMP - YT - Alok feat. John Martin - Wherever You Go  <entry2> <artistName>  Gob  <trackName>  OK,0.92,0.0
3941.0,<entry1>  Warner Music Canada - Montreal - Amir - Ressources [Deluxe] - P1 - R - 0062L00000WCpy3QAD [Canada]  <entry2> <artistName>  of Montreal  <trackName>  Montreal,0.9279999999999999,0.0
3961.0,<entry1>  Rhno - Grateful Dead - Almanac - P1 - M - 0062L00000WCspdQAD - [USA]  <entry2> <artistName>  Grace  <trackName>  Us,0.92,0.0
