index,entry,combineScore,trueLabel
0.0,<entry1>  2021 - Joel Corry - I Wish  <entry2> <artistName>  Fish  <trackName>  Whiplash,0.7020000000000001,0.0
1.0,<entry1>  2021 - Joel Corry - I Wish  <entry2> <artistName>  Phish  <trackName>  2001,0.69,0.0
2.0,<entry1>  2021 - Joel Corry - I Wish  <entry2> <artistName>  Fish  <trackName>  Old Crow,0.672,0.0
3.0,<entry1>  2021 - Joel Corry - I Wish  <entry2> <artistName>  210  <trackName>  Bush,0.5680000000000001,0.0
4.0,<entry1>  2021 - Joel Corry - I Wish  <entry2> <artistName>  Cor  <trackName>  Pray,0.7,0.0
5.0,<entry1>  2021 - Joel Corry - I Wish  <entry2> <artistName>  Cor  <trackName>  Wonder,0.52,0.0
6.0,<entry1>  2021 - Joel Corry - I Wish  <entry2> <artistName>  Phish  <trackName>  N02,0.642,0.0
10.0,<entry1>  2021 The War On Drugs - I Don't Live Here Anymore  <entry2> <artistName>  The Ark  <trackName>  The Ark,0.0,0.0
11.0,<entry1>  2021 The War On Drugs - I Don't Live Here Anymore  <entry2> <artistName>  The War On Drugs  <trackName>  The Animator,0.802,0.0
12.0,<entry1>  2021 The War On Drugs - I Don't Live Here Anymore  <entry2> <artistName>  210  <trackName>  210,0.0,0.0
13.0,<entry1>  2021 The War On Drugs - I Don't Live Here Anymore  <entry2> <artistName>  more*  <trackName>  Like Me,0.782,0.0
14.0,<entry1>  2021 The War On Drugs - I Don't Live Here Anymore  <entry2> <artistName>  War  <trackName>  Deliver The Word,0.736,0.0
15.0,<entry1>  2021 The War On Drugs - I Don't Live Here Anymore  <entry2> <artistName>  WAR  <trackName>  Deliver The Word,0.736,0.0
16.0,<entry1>  2021 The War On Drugs - I Don't Live Here Anymore  <entry2> <artistName>  ReN  <trackName>  Don't Let Go,0.718,0.0
18.0,<entry1>  WrRE - Gang of Youths - The Man Himself - P1 - R - 0062L00000VIUsuQAH [United States]  <entry2> <artistName>  Gang  <trackName>  Sud,0.802,0.0
19.0,<entry1>  WrRE - Gang of Youths - The Man Himself - P1 - R - 0062L00000VIUsuQAH [United States]  <entry2> <artistName>  Gang  <trackName>  Qui,0.802,0.0
20.0,<entry1>  WrRE - Gang of Youths - The Man Himself - P1 - R - 0062L00000VIUsuQAH [United States]  <entry2> <artistName>  Unité  <trackName>  Unité,0.0,0.0
21.0,<entry1>  WrRE - Gang of Youths - The Man Himself - P1 - R - 0062L00000VIUsuQAH [United States]  <entry2> <artistName>  War  <trackName>  War,0.0,0.0
22.0,<entry1>  WrRE - Gang of Youths - The Man Himself - P1 - R - 0062L00000VIUsuQAH [United States]  <entry2> <artistName>  WAR  <trackName>  War,0.0,0.0
23.0,<entry1>  WrRE - Gang of Youths - The Man Himself - P1 - R - 0062L00000VIUsuQAH [United States]  <entry2> <artistName>  Gang  <trackName>  Vorrei,0.7,0.0
24.0,<entry1>  WrRE - Gang of Youths - The Man Himself - P1 - R - 0062L00000VIUsuQAH [United States]  <entry2> <artistName>  Artes  <trackName>  3000,0.77,0.0
25.0,<entry1>  WrRE - Gang of Youths - The Man Himself - P1 - R - 0062L00000VIUsuQAH [United States]  <entry2> <artistName>  Gang  <trackName>  Iside,0.76,0.0
26.0,<entry1>  WrRE - Gang of Youths - The Man Himself - P1 - R - 0062L00000VIUsuQAH [United States]  <entry2> <artistName>  Gang  <trackName>  Io E Te,0.658,0.0
27.0,<entry1>  2503| WMA ADS | MA | FLEETWOOD MAC | CATALOGUE | P067775 | INT  <entry2> <artistName>  Fleetwood Mac  <trackName>  Intro,0.85,0.0
28.0,<entry1>  2503| WMA ADS | MA | FLEETWOOD MAC | CATALOGUE | P067775 | INT  <entry2> <artistName>  TAL  <trackName>  ADN,0.802,0.0
29.0,<entry1>  2503| WMA ADS | MA | FLEETWOOD MAC | CATALOGUE | P067775 | INT  <entry2> <artistName>  TAL  <trackName>  War,0.802,0.0
30.0,<entry1>  2503| WMA ADS | MA | FLEETWOOD MAC | CATALOGUE | P067775 | INT  <entry2> <artistName>  Tal  <trackName>  War,0.802,0.0
31.0,<entry1>  2503| WMA ADS | MA | FLEETWOOD MAC | CATALOGUE | P067775 | INT  <entry2> <artistName>  Tal  <trackName>  ADN,0.802,0.0
32.0,<entry1>  2503| WMA ADS | MA | FLEETWOOD MAC | CATALOGUE | P067775 | INT  <entry2> <artistName>  Fleetwood Mac  <trackName>  Trinity,0.7,0.0
