id,data,label
54813,<entry1>  (partywithray Remix) BgBt - Minelli - Rampampam - P1 - R - 0062L00000VJP0VQAX [USA]  <entry2> <artistName>  Minelli  <trackName>  Rampampam,1
54814,<entry1>  Eltr - Christina Perri - Here Comes The Sun - P1 - R - 0062L00000VJ1XRQA1 [United States]  <entry2> <artistName>  christina perri  <trackName>  here comes the sun,1
54815,<entry1>  Atln - Brynn Elliott - Breathe - P1 - R - 0062L00000WCU3pQAH [united states]  <entry2> <artistName>  Brynn Elliott  <trackName>  Breathe,1
54816,<entry1>  WrCa - GAYLE - abcdedfu - P1 - R - 0062L00000WCdrmQAD [Canada]  <entry2> <artistName>  GAYLE  <trackName>  abcdefu,1
54817,<entry1>  (wh0 Remix) BgBt - Minelli - Rampampam - P1 - R - 0062L00000VJP0VQAX [USA]  <entry2> <artistName>  Minelli  <trackName>  Rampampam,1
54818,<entry1>  [IG] Eltr - Christina Perri - Here Comes The Sun - P1 - R - 0062L00000VJ1XRQA1 [United States]  <entry2> <artistName>  christina perri  <trackName>  here comes the sun,1
54819,<entry1>  [FB] Eltr - Christina Perri - Here Comes The Sun - P1 - R - 0062L00000VJ1XRQA1 [United States]  <entry2> <artistName>  christina perri  <trackName>  here comes the sun,1
54820,<entry1>  WrCa - GAYLE - abcdedfu [FB] - P1 - R - 0062L00000WCdrmQAD [Canada]  <entry2> <artistName>  GAYLE  <trackName>  abcdefu,1
54821,<entry1>  Atln - Brynn Elliott - Breathe - P1 - R - 0062L00000WCU3pQAH [United States]  <entry2> <artistName>  Brynn Elliott  <trackName>  Breathe,1
54822,<entry1>  WrRE - Bryce Vine - Miss You a Little - P2 - R - 0062L00000VHNoaQAH [USA] [IGS+IGReels]  <entry2> <artistName>  Bryce Vine  <trackName>  Miss You A Little,1
54823,<entry1>  WrCa - GAYLE - abcdedfu [IG/ IGS] - P1 - R - 0062L00000WCdrmQAD [Canada]  <entry2> <artistName>  GAYLE  <trackName>  abcdefu,1
54824,<entry1>  [Singapore] WrAR - Johnny Stimson - Material Things [Clicks] - P1 - R - 0062L00000VIrjPQAT  <entry2> <artistName>  nan  <trackName>  nan,0
54825,<entry1>  WrCa - GAYLE - abcdedfu - P1 - R - 0062L00000WCdrmQAD [Canada]  <entry2> <artistName>  GAYLE  <trackName>  abcdefu,1
54826,<entry1>  WrRE - WHOKILLEDXIX - Mondays! (ft. Pussy Riot) - P1 - R - 0062L00000VJI5QQAX  <entry2> <artistName>  WHOKILLEDXIX  <trackName>  Mondays! (feat. Pussy Riot),1
54827,<entry1>  Atln - Ckay - Love Nwantiti (North African Remix) [Music Video] - P1 - R - 0062L00000WCfDAQA1 [United States]  <entry2> <artistName>  CKay  <trackName>  love nwantiti (feat. ElGrande Toto) [North African Remix],1
54828,<entry1>  Elektra: Skillet - Surviving the Game [Radio] [Detroit]  <entry2> <artistName>  Skillet  <trackName>  Surviving The Game,1
54829,<entry1>  BgBt - Alok - Wherever You Go (feat. John Martin) - P1 - R - 0062L00000WCT9HQAX - [USA]  <entry2> <artistName>  Alok  <trackName>  Wherever You Go (feat. John Martin),1
54830,<entry1>  Joel Corry - I wish - Drive Traffic To Website  <entry2> <artistName>  Joel Corry  <trackName>  I Wish,1
54831,<entry1>  Joel Corry - I wish - Drive Traffic To Website  <entry2> <artistName>  Raf  <trackName>  Self Control,0
54832,<entry1>  Joel Corry - I wish - Drive Traffic To Website  <entry2> <artistName>  Joe  <trackName>  Love Centric,0
54833,<entry1>  Joel Corry - I wish - Drive Traffic To Website  <entry2> <artistName>  Cor  <trackName>  Doe Dit,0
54834,<entry1>  Joel Corry - I wish - Drive Traffic To Website  <entry2> <artistName>  RA  <trackName>  Hop Wei Boys,0
54835,<entry1>  Joel Corry - I wish - Drive Traffic To Website  <entry2> <artistName>  Joe  <trackName>  Stutter,0
54836,<entry1>  Joel Corry - I wish - Drive Traffic To Website  <entry2> <artistName>  Joelma  <trackName>  Sim,0
54837,<entry1>  Joel Corry - I wish - Drive Traffic To Website  <entry2> <artistName>  Joe  <trackName>  Take It to the House,0
54838,<entry1>  Joel Corry - I wish - Drive Traffic To Website  <entry2> <artistName>  RA  <trackName>  Jacob's Story,0
54839,<entry1>  Joel Corry - I wish - Drive Traffic To Website  <entry2> <artistName>  Joe  <trackName>  Lean Into It,0
54840,<entry1>  [SC] Rod Stewart - The Tears of Hercules - PO - OCT 2021  <entry2> <artistName>  Rod Stewart  <trackName>  The Tears Of Hercules,1
54841,<entry1>  [SC] Rod Stewart - The Tears of Hercules - PO - OCT 2021  <entry2> <artistName>  War  <trackName>  War,0
54842,<entry1>  [SC] Rod Stewart - The Tears of Hercules - PO - OCT 2021  <entry2> <artistName>  WAR  <trackName>  War,0
54843,<entry1>  [SC] Rod Stewart - The Tears of Hercules - PO - OCT 2021  <entry2> <artistName>  Rod Stewart  <trackName>  The Blues,0
