index,entry,combineScore,trueLabel
0.0,<entry1>  (partywithray Remix) BgBt - Minelli - Rampampam - P1 - R - 0062L00000VJP0VQAX [USA]  <entry2> <artistName>  Minelli  <trackName>  Rampampam,1.0,1.0
1.0,<entry1>  Eltr - Christina Perri - Here Comes The Sun - P1 - R - 0062L00000VJ1XRQA1 [United States]  <entry2> <artistName>  christina perri  <trackName>  here comes the sun,1.0,1.0
2.0,<entry1>  Atln - Brynn Elliott - Breathe - P1 - R - 0062L00000WCU3pQAH [united states]  <entry2> <artistName>  Brynn Elliott  <trackName>  Breathe,1.0,1.0
4.0,<entry1>  (wh0 Remix) BgBt - Minelli - Rampampam - P1 - R - 0062L00000VJP0VQAX [USA]  <entry2> <artistName>  Minelli  <trackName>  Rampampam,1.0,1.0
5.0,<entry1>  [IG] Eltr - Christina Perri - Here Comes The Sun - P1 - R - 0062L00000VJ1XRQA1 [United States]  <entry2> <artistName>  christina perri  <trackName>  here comes the sun,1.0,1.0
6.0,<entry1>  [FB] Eltr - Christina Perri - Here Comes The Sun - P1 - R - 0062L00000VJ1XRQA1 [United States]  <entry2> <artistName>  christina perri  <trackName>  here comes the sun,1.0,1.0
8.0,<entry1>  Atln - Brynn Elliott - Breathe - P1 - R - 0062L00000WCU3pQAH [United States]  <entry2> <artistName>  Brynn Elliott  <trackName>  Breathe,1.0,1.0
9.0,<entry1>  WrRE - Bryce Vine - Miss You a Little - P2 - R - 0062L00000VHNoaQAH [USA] [IGS+IGReels]  <entry2> <artistName>  Bryce Vine  <trackName>  Miss You A Little,1.0,1.0
13.0,<entry1>  WrRE - WHOKILLEDXIX - Mondays! (ft. Pussy Riot) - P1 - R - 0062L00000VJI5QQAX  <entry2> <artistName>  WHOKILLEDXIX  <trackName>  Mondays! (feat. Pussy Riot),1.0,1.0
15.0,<entry1>  Elektra: Skillet - Surviving the Game [Radio] [Detroit]  <entry2> <artistName>  Skillet  <trackName>  Surviving The Game,1.0,1.0
16.0,<entry1>  BgBt - Alok - Wherever You Go (feat. John Martin) - P1 - R - 0062L00000WCT9HQAX - [USA]  <entry2> <artistName>  Alok  <trackName>  Wherever You Go (feat. John Martin),1.0,1.0
17.0,<entry1>  Joel Corry - I wish - Drive Traffic To Website  <entry2> <artistName>  Joel Corry  <trackName>  I Wish,1.0,1.0
