index,entry,combineScore
1.0,<entry1>  Eltr - Christina Perri - Here Comes The Sun - P1 - R - 0062L00000VJ1XRQA1 [United States]  <entry2> <artistName>  christina perri  <trackName>  here comes the sun,0.825
5.0,<entry1>  [IG] Eltr - Christina Perri - Here Comes The Sun - P1 - R - 0062L00000VJ1XRQA1 [United States]  <entry2> <artistName>  christina perri  <trackName>  here comes the sun,0.825
6.0,<entry1>  [FB] Eltr - Christina Perri - Here Comes The Sun - P1 - R - 0062L00000VJ1XRQA1 [United States]  <entry2> <artistName>  christina perri  <trackName>  here comes the sun,0.825
17.0,<entry1>  Joel Corry - I wish - Drive Traffic To Website  <entry2> <artistName>  Joel Corry  <trackName>  I Wish,0.915
19.0,<entry1>  Joel Corry - I wish - Drive Traffic To Website  <entry2> <artistName>  Joe  <trackName>  Love Centric,0.75
20.0,<entry1>  Joel Corry - I wish - Drive Traffic To Website  <entry2> <artistName>  Cor  <trackName>  Doe Dit,0.715
24.0,<entry1>  Joel Corry - I wish - Drive Traffic To Website  <entry2> <artistName>  Joe  <trackName>  Take It to the House,0.685
30.0,<entry1>  [SC] Rod Stewart - The Tears of Hercules - PO - OCT 2021  <entry2> <artistName>  Rod Stewart  <trackName>  The Blues,0.835
31.0,<entry1>  [SC] Rod Stewart - The Tears of Hercules - PO - OCT 2021  <entry2> <artistName>  210  <trackName>  210,0.8
32.0,<entry1>  [SC] Rod Stewart - The Tears of Hercules - PO - OCT 2021  <entry2> <artistName>  Rod Stewart  <trackName>  Three Time Loser,0.81
33.0,<entry1>  [SC] Rod Stewart - The Tears of Hercules - PO - OCT 2021  <entry2> <artistName>  Rod Stewart  <trackName>  Ten Days Of Rain,0.72
34.0,<entry1>  [SC] Rod Stewart - The Tears of Hercules - PO - OCT 2021  <entry2> <artistName>  The Trews  <trackName>  The Pearl,0.78
35.0,<entry1>  [SC] Rod Stewart - The Tears of Hercules - PO - OCT 2021  <entry2> <artistName>  Rod Stewart  <trackName>  Tear It Up,0.8
36.0,<entry1>  [SC] Rod Stewart - The Tears of Hercules - PO - OCT 2021  <entry2> <artistName>  Rod Stewart  <trackName>  Heart Is On The Line,0.775
37.0,<entry1>  [SC] Bushido - Bushido - ALB - Nov 2021  <entry2> <artistName>  210  <trackName>  Bush,0.9
38.0,<entry1>  [SC] Bushido - Bushido - ALB - Nov 2021  <entry2> <artistName>  210  <trackName>  210,0.8
39.0,<entry1>  [SC] Bushido - Bushido - ALB - Nov 2021  <entry2> <artistName>  Khid  <trackName>  Ohi,0.71
46.0,<entry1>  [SC] Bushido - Bushido - ALB - Nov 2021  <entry2> <artistName>  Bush  <trackName>  The Kingdom,0.6799999999999999
47.0,<entry1>  [VD] Carlota Mad - explicita - SGL - NOV 2021  <entry2> <artistName>  210  <trackName>  210,0.8
51.0,<entry1>  [VD] Carlota Mad - explicita - SGL - NOV 2021  <entry2> <artistName>  Charo  <trackName>  La Mojada,0.68
53.0,<entry1>  [VD] Carlota Mad - explicita - SGL - NOV 2021  <entry2> <artistName>  Carlo  <trackName>  Got Ya,0.835
57.0,<entry1>  [SC] Bruno Mars (Silk Sonic) - An Evening With Silk Sonic  - PO - NOV 2021  <entry2> <artistName>  Mars  <trackName>  Bionic,0.835
58.0,<entry1>  [SC] Bruno Mars (Silk Sonic) - An Evening With Silk Sonic  - PO - NOV 2021  <entry2> <artistName>  Bruno Mars  <trackName>  Who Is,0.75
59.0,<entry1>  [SC] Bruno Mars (Silk Sonic) - An Evening With Silk Sonic  - PO - NOV 2021  <entry2> <artistName>  210  <trackName>  210,0.8
60.0,<entry1>  [SC] Bruno Mars (Silk Sonic) - An Evening With Silk Sonic  - PO - NOV 2021  <entry2> <artistName>  Bruno Mars  <trackName>  The Lazy Song,0.69
61.0,<entry1>  [SC] Bruno Mars (Silk Sonic) - An Evening With Silk Sonic  - PO - NOV 2021  <entry2> <artistName>  Bruno Mars  <trackName>  Dancing with the Stars,0.75
62.0,<entry1>  [SC] Bruno Mars (Silk Sonic) - An Evening With Silk Sonic  - PO - NOV 2021  <entry2> <artistName>  Mars  <trackName>  Come With Me,0.75
63.0,<entry1>  [SC] Bruno Mars (Silk Sonic) - An Evening With Silk Sonic  - PO - NOV 2021  <entry2> <artistName>  Bruno Mars  <trackName>  It Will Rain,0.75
65.0,<entry1>  [SC] Bruno Mars (Silk Sonic) - An Evening With Silk Sonic  - PO - NOV 2021  <entry2> <artistName>  Mars  <trackName>  Let It Show,0.6799999999999999
72.0,<entry1>  Neil Young Barn Album_Crazy Horse Heading West_Youtube_InStream Ad_awareness  <entry2> <artistName>  Neil Young  <trackName>  Intro,0.9
