index,entry,combineScore,trueLabel
0.0,<entry1>  (partywithray Remix) BgBt - Minelli - Rampampam - P1 - R - 0062L00000VJP0VQAX [USA]  <entry2> <artistName>  Minelli  <trackName>  Rampampam,1.0,1.0
2.0,<entry1>  Atln - Brynn Elliott - Breathe - P1 - R - 0062L00000WCU3pQAH [united states]  <entry2> <artistName>  Brynn Elliott  <trackName>  Breathe,1.0,1.0
3.0,<entry1>  WrCa - GAYLE - abcdedfu - P1 - R - 0062L00000WCdrmQAD [Canada]  <entry2> <artistName>  GAYLE  <trackName>  abcdefu,0.9299999999999999,1.0
4.0,<entry1>  (wh0 Remix) BgBt - Minelli - Rampampam - P1 - R - 0062L00000VJP0VQAX [USA]  <entry2> <artistName>  Minelli  <trackName>  Rampampam,1.0,1.0
7.0,<entry1>  WrCa - GAYLE - abcdedfu [FB] - P1 - R - 0062L00000WCdrmQAD [Canada]  <entry2> <artistName>  GAYLE  <trackName>  abcdefu,0.9299999999999999,1.0
8.0,<entry1>  Atln - Brynn Elliott - Breathe - P1 - R - 0062L00000WCU3pQAH [United States]  <entry2> <artistName>  Brynn Elliott  <trackName>  Breathe,1.0,1.0
9.0,<entry1>  WrRE - Bryce Vine - Miss You a Little - P2 - R - 0062L00000VHNoaQAH [USA] [IGS+IGReels]  <entry2> <artistName>  Bryce Vine  <trackName>  Miss You A Little,0.97,1.0
10.0,<entry1>  WrCa - GAYLE - abcdedfu [IG/ IGS] - P1 - R - 0062L00000WCdrmQAD [Canada]  <entry2> <artistName>  GAYLE  <trackName>  abcdefu,0.9299999999999999,1.0
12.0,<entry1>  WrCa - GAYLE - abcdedfu - P1 - R - 0062L00000WCdrmQAD [Canada]  <entry2> <artistName>  GAYLE  <trackName>  abcdefu,0.9299999999999999,1.0
13.0,<entry1>  WrRE - WHOKILLEDXIX - Mondays! (ft. Pussy Riot) - P1 - R - 0062L00000VJI5QQAX  <entry2> <artistName>  WHOKILLEDXIX  <trackName>  Mondays! (feat. Pussy Riot),0.9650000000000001,1.0
15.0,<entry1>  Elektra: Skillet - Surviving the Game [Radio] [Detroit]  <entry2> <artistName>  Skillet  <trackName>  Surviving The Game,0.97,1.0
16.0,<entry1>  BgBt - Alok - Wherever You Go (feat. John Martin) - P1 - R - 0062L00000WCT9HQAX - [USA]  <entry2> <artistName>  Alok  <trackName>  Wherever You Go (feat. John Martin),1.0,1.0
27.0,<entry1>  [SC] Rod Stewart - The Tears of Hercules - PO - OCT 2021  <entry2> <artistName>  Rod Stewart  <trackName>  The Tears Of Hercules,0.975,1.0
