index,entry,combineScore,trueLabel
1.0,<entry1>  Eltr - Christina Perri - Here Comes The Sun - P1 - R - 0062L00000VJ1XRQA1 [United States]  <entry2> <artistName>  christina perri  <trackName>  here comes the sun,0.825,1.0
5.0,<entry1>  [IG] Eltr - Christina Perri - Here Comes The Sun - P1 - R - 0062L00000VJ1XRQA1 [United States]  <entry2> <artistName>  christina perri  <trackName>  here comes the sun,0.825,1.0
6.0,<entry1>  [FB] Eltr - Christina Perri - Here Comes The Sun - P1 - R - 0062L00000VJ1XRQA1 [United States]  <entry2> <artistName>  christina perri  <trackName>  here comes the sun,0.825,1.0
17.0,<entry1>  Joel Corry - I wish - Drive Traffic To Website  <entry2> <artistName>  Joel Corry  <trackName>  I Wish,0.915,1.0
19.0,<entry1>  Joel Corry - I wish - Drive Traffic To Website  <entry2> <artistName>  Joe  <trackName>  Love Centric,0.75,0.0
20.0,<entry1>  Joel Corry - I wish - Drive Traffic To Website  <entry2> <artistName>  Cor  <trackName>  Doe Dit,0.715,0.0
24.0,<entry1>  Joel Corry - I wish - Drive Traffic To Website  <entry2> <artistName>  Joe  <trackName>  Take It to the House,0.685,0.0
30.0,<entry1>  [SC] Rod Stewart - The Tears of Hercules - PO - OCT 2021  <entry2> <artistName>  Rod Stewart  <trackName>  The Blues,0.835,0.0
31.0,<entry1>  [SC] Rod Stewart - The Tears of Hercules - PO - OCT 2021  <entry2> <artistName>  210  <trackName>  210,0.8,0.0
32.0,<entry1>  [SC] Rod Stewart - The Tears of Hercules - PO - OCT 2021  <entry2> <artistName>  Rod Stewart  <trackName>  Three Time Loser,0.81,0.0
33.0,<entry1>  [SC] Rod Stewart - The Tears of Hercules - PO - OCT 2021  <entry2> <artistName>  Rod Stewart  <trackName>  Ten Days Of Rain,0.72,0.0
34.0,<entry1>  [SC] Rod Stewart - The Tears of Hercules - PO - OCT 2021  <entry2> <artistName>  The Trews  <trackName>  The Pearl,0.78,0.0
35.0,<entry1>  [SC] Rod Stewart - The Tears of Hercules - PO - OCT 2021  <entry2> <artistName>  Rod Stewart  <trackName>  Tear It Up,0.8,0.0
36.0,<entry1>  [SC] Rod Stewart - The Tears of Hercules - PO - OCT 2021  <entry2> <artistName>  Rod Stewart  <trackName>  Heart Is On The Line,0.775,0.0
