CAMPAIGN_NAME,ASG_GROUPING_TITLE,ARTIST_DISPLAY_NAME,index
(partywithray Remix) BgBt - Minelli - Rampampam - P1 - R - 0062L00000VJP0VQAX [USA],Rampampam,Minelli,0
Eltr - Christina Perri - Here Comes The Sun - P1 - R - 0062L00000VJ1XRQA1 [United States],here comes the sun,christina perri,1
Atln - Brynn Elliott - Breathe - P1 - R - 0062L00000WCU3pQAH [united states],Breathe,Brynn Elliott,2
WrCa - GAYLE - abcdedfu - P1 - R - 0062L00000WCdrmQAD [Canada],abcdefu,GAYLE,3
(wh0 Remix) BgBt - Minelli - Rampampam - P1 - R - 0062L00000VJP0VQAX [USA],Rampampam,Minelli,4
[IG] Eltr - Christina Perri - Here Comes The Sun - P1 - R - 0062L00000VJ1XRQA1 [United States],here comes the sun,christina perri,5
[FB] Eltr - Christina Perri - Here Comes The Sun - P1 - R - 0062L00000VJ1XRQA1 [United States],here comes the sun,christina perri,6
WrCa - GAYLE - abcdedfu [FB] - P1 - R - 0062L00000WCdrmQAD [Canada],abcdefu,GAYLE,7
Atln - Brynn Elliott - Breathe - P1 - R - 0062L00000WCU3pQAH [United States],Breathe,Brynn Elliott,8
WrRE - Bryce Vine - Miss You a Little - P2 - R - 0062L00000VHNoaQAH [USA] [IGS+IGReels],Miss You A Little,Bryce Vine,9
WrCa - GAYLE - abcdedfu [IG/ IGS] - P1 - R - 0062L00000WCdrmQAD [Canada],abcdefu,GAYLE,10
[Singapore] WrAR - Johnny Stimson - Material Things [Clicks] - P1 - R - 0062L00000VIrjPQAT,,,11
WrRE - WHOKILLEDXIX - Mondays! (ft. Pussy Riot) - P1 - R - 0062L00000VJI5QQAX,Mondays! (feat. Pussy Riot),WHOKILLEDXIX,13
Atln - Ckay - Love Nwantiti (North African Remix) [Music Video] - P1 - R - 0062L00000WCfDAQA1 [United States],love nwantiti (feat. ElGrande Toto) [North African Remix],CKay,14
Elektra: Skillet - Surviving the Game [Radio] [Detroit],Surviving The Game,Skillet,15
BgBt - Alok - Wherever You Go (feat. John Martin) - P1 - R - 0062L00000WCT9HQAX - [USA],Wherever You Go (feat. John Martin),Alok,16
Joel Corry - I wish - Drive Traffic To Website,I Wish,Joel Corry,17
[SC] Rod Stewart - The Tears of Hercules - PO - OCT 2021,The Tears Of Hercules,Rod Stewart,27
[SC] Bushido - Bushido - ALB - Nov 2021,Bush,210,37
[VD] Carlota Mad - explicita - SGL - NOV 2021,210,210,47
[SC] Bruno Mars (Silk Sonic) - An Evening With Silk Sonic  - PO - NOV 2021,Bionic,Mars,57
Neil Young Barn Album_Crazy Horse Heading West_Youtube_InStream Ad_awareness,Alabama / Campaigner / Ohio / The Times They Are A-Changin’ / Lookin' for a Leader – 2020 / Southern Man / Little Wing (Medley),Neil Young,67
N006380 - Multiplica - Mujeres y Petas,LI,LINA,77
REC118 D2C NINHO JEFE _ Website traffic-Search,Jefe,Ninho,87
[VD] Y yo latiendo - SGL - NOV 2021 (2),Yolo,YAYO,97
YT - Jubël at fotografiska - BOOST,Bolo,RA,107
Oma geht Steil x Mastodon - Pushing the Tides_Youtube_Discovery Ad_awareness,Pushing the Tides,Mastodon,117
2021 Biffy Clyro - TMOTHEA GDN,The Fog,Biffy Clyro,127
Atln - GAYLE - Abcdefu [Pt. 2] - P2 - R - 0062L00000WCn3qQAD [Canada],abcdefu,GAYLE,137
Karl Killing - friday nights-EE-WMB,friday nights,Karl Killing,147
[DS] Vanesa Martín - 7 Veces Si Reedición - PO - NOV 2021,Hoy no,Vanesa Martín,157
"2021 Ed Sheeran - """"="""" Release",Eraser,Ed Sheeran,167
[SC] David Bowie - Brilliant Adventure - PO - NOV 2021,Brilliant Adventure,David Bowie,177
[SC] Vanesa Martín - Siete veces sí - PO - NOV 2021,Hoy no,Vanesa Martín,187
[SC] Gen Dro Cines (Rosendo) - Evento - NOV 2021,20/21,Leto,197
YT - Jireel - Dagar i regn - BOOST,Dagar i regn,Jireel,207
PL Noel - Boost du 11/11 - 1k€ - 091121 - Trafic,Bolo,RA,217
WMTH_SMOTW แปลเพลงฮิต_vdo view_Tiktok,Diko,Miko,227
Benson Boone - Ghost Town - SW,Ghost Town,Benson Boone,237
WMP - Reach - Sia - Snowman,Snowman,Sia,247
Kevinho - Chama Neném [Tráfego] 10.11.21,Chama Neném,MC Kevinho,257
Oliver Tree Final Phase,LI,LINA,267
Casper The Ghost x Jutes - BAD - Boost CTG,BAD,"Casper The Ghost, Jutes",277
PLUMAS LIKE | CLICK,Like,Plumas,287
PRE-SAVE AVRIL LAVIGNE,Cri,Nek,297
Surf Curse - Freaks (feat Travis Barker)_TikTok_In-Feed Ad_clicks,Freaks,Surf Curse,307
ARRIVEE TIKTOK NINHO - boost video artiste - 1 k- Reach20211110180517,Bob,Ninho,317
D2C Ninho 5k Conversions,Filon,Ninho,327
PREECOUTE DEEZER X NINHO 7.5K€ Reach,Aïcha,Ninho,337
PREECOUTE DEEZER X NINHO 7.5K€ Traffic20211110183306,TTR,Ninho,347
Meri Deal Te Beso Yo,Bumper,MDE,357
Medina - Teaser 2022,Tegere,Medina,367
Ed Sheeran Overpass Graffiti,Overpass Graffiti,Ed Sheeran,377
co_fb_co9_mom_boyfriend_portuguese_126292_de_vp14_ago_387066,Yoru,GFRIEND,387
co_fb_co9_mom_boyfriend_spanish_81649_de_vp1_389860,Mutual Friends,BOY,397
[Indonesia] WrAR - Johnny Stimson - Material Things [Clicks] - P1 - R - 0062L00000VIrjPQAT,Material Things,Johnny Stimson,407
[Thailand] WrAR - Johnny Stimson - Material Things [Clicks] - P1 - R - 0062L00000VIrjPQAT,Material Things,Johnny Stimson,417
[Philippines] WrAR - Johnny Stimson - Material Things [Clicks] - P1 - R - 0062L00000VIrjPQAT,Material Things,Johnny Stimson,427
[Malaysia] WrAR - Johnny Stimson - Material Things [Clicks] - P1 - R - 0062L00000VIrjPQAT,Material Things,Johnny Stimson,437
DOM_Pam_doyouever_ppe-linkfire_11Nov2021,210,210,447
WMTH_dark post TH SMOTW out now_conversion_fb/ig,GO,ION,457
DOM_Pam_doyouever_traffic-linkfire_11Nov2021,Eva,Raf,467
ParceraFB_WM_9Nov,Panacea,PAX,477
AYAMOR_IGNUEVA_10Nov,4AM,Nue,487
AYAMOR_STNUEVA_10nov,4AM,Nue,497
ParceraIG_WM_9Nov,Pablo,Rai,507
Rhno - The Replacements - Sorry Ma [eCom] - P1 [Sale] - 0062L00000VGVe3QAH - USA,So Sorry Baby,Ace,517
Atln - flowerkid - everyone has a breaking point EP - P1 - R - 0062L00000WCkECQA1 [FB/IG][USA],USA,TFlow,527
Atln - flowerkid - everyone has a breaking point EP - P1 - R - 0062L00000WCkECQA1 [IG Reels/IG Stories][USA],Flower,Eels,537
Atlantic: Q4 2021 Always On - Trey Songz,GLA,Trey Songz,547
ADA - Anderson .Paak - Bubblin [Silk Sonic Spend] - P1 - R - 0062L00000WCfV9QAL [United States],Bubblin',Anderson .Paak,557
CA / Black Friday Merch / 2617 / PO67889,LA,Ay Em,567
CA / Festival Gig Guide / 2618 / PO67889,Timal,Timal,577
WMA / Modern Xmas songs / 2619 / PO67889,Smog,Moev,587
HI - VD - James Blunt - Pre-order - BE:PO546635,High,James Blunt,597
HI - VD - Zaz - FTW Kinepolis - BE:PO547116,Paris,Zaz,607
Atln - GAYLE - Abcdefu [Pt. 2] (Phase 2 - iTunes) [IG Reels] - P2 - R - 0062L00000WCn3qQAD [United States],abcdefu,GAYLE,617
Atln - GAYLE - Abcdefu [Pt. 2] (Phase 2 - iTunes) [FB/IG/IGS] - P2 - R - 0062L00000WCn3qQAD [United States],abcdefu,GAYLE,627
[INTL] HONNE DRAWING WITH,Hong,RA,637
PL Noel Jazz - Phase 2 - 7k€ - BDC - 111121 - Trafic,Fine,BDC,647
JC Stewart - Awareness video,Angel,WAR,657
Silk Sonic Smokin Out The Window,Windows,SIL,667
Warner Music Canada: Charmaine - Bad Mentality (Canada),War,Tal,677
WrNa - Dan + Shay - Pick Out A Christmas Tree [Amazon Music] + Officially Christmas - P1 - R - 0062L00000WC8iZQAT,Officially Christmas,Dan + Shay,687
Neil Young Barn Album_Facebook_Promoted Post_awareness,Burn,FACE,697
Led Zeppelin_IV_50_Spotify_Instagram_Story Ad_clicks,Friends,Led Zeppelin,707
Robert Plant Alison Krauss Raise Album Pre Order_Instagram_Feed Ad_awareness3,"Digging Deep, The Robert Plant Podcast - Series 1 Episode 4 - Like I’ve Never Been Gone",Robert Plant,717
Robert Plant Alison Krauss Raise Album Pre Order_Instagram_Story Ad_awareness3,"Digging Deep, The Robert Plant Podcast - Series 1 Episode 4 - Like I’ve Never Been Gone",Robert Plant,727
Clean_Bandit Drive_Instagram_Spotify_Story Ad_clicks,Clean Bandit,Clean Bandit,737
Robert Plant Alison Krauss Raise Album Pre Order_Facebook_Promoted Post_awareness,"Digging Deep, The Robert Plant Podcast - Series 1 Episode 4 - Like I’ve Never Been Gone",Robert Plant,747
ANI - Tyttö sä oot tähti - teaser -  IGS,"Tyttö, sä oot tähti",ANI,757
Avril Lavine - Bite Me -WMB,Bite Me,Avril Lavigne,777
Karl Killing - friday nights-IGS-EE-WMB,friday nights,Karl Killing,787
Ilta - Taivas maan päällä - teaser - IGS,Taivas maan päällä,Ilta,797
LIVE: Ilta - Joulukiertue (Hyvinkää),Oi jouluyö,Ilta,807
LIVE: Ilta - Joulukiertue (Savonlinna),July,INNA,817
LIVE: Ilta - Joulukiertue (Joensuu),Virtue,Soen,827
LIVE: Erin - 10 vuotta hunningolla (Helsinki),NI,Ninho,837
LIVE: Vesala - 40-juhlakiertue (Tampere),Life,Amber,847
Ilta - Taivas maan päällä  - teaser - FB,Taivas maan päällä,Ilta,857
Miss Caffeina - POR SI - SGL- NOV 2021,Por si,Miss Caffeina,867
Vanesa Martín - 7 veces si - PO - NOV 2021,Hoy no,Vanesa Martín,877
Gen Dro Cine (Rosendo) - EVENTO - NOV 2021,20/21,Leto,887
Gen Dro Cine (General) - EVENTO - NOV 2021,Venom,Venom,897
Extremoduro - No quiero ser como tu - ALB - NOV 2021,210,210,907
2556 | WMA ADS | MA | FLEETWOOD MAC | PODCAST AD | TBC__Video views,I Do,Fleetwood Mac,917
[Phase 2 - Clicks] WrAu - The Black Keys - El Camino 10th Anniversary - P1 - R - 0062L00000VISeqQAH [FB/IG/IGS - Australia],Kali,The Anniversary,927
[Phase 2 - Thruplays] WrAu - The Black Keys - El Camino 10th Anniversary - P1 - R - 0062L00000VISeqQAH [FB/IG/IGS - Australia],Kali,The Anniversary,937
2612 | WMA ADS | MA | SIA | CHRISTMAS | P067943__Video views,26,Chic,947
Tiesto - The Motto - Drive Traffic To Website,Traffic,Tiësto,957
Bbenson Boone - Drive Traffic To Website,Bolo,RA,967
2614 | WMA ads | HW | The Walters | I Love You So | P067968,I Love You So,The Walters,977
Eltr - Trivium - The Phalanx - P1 - R - 0062L00000VfZb7QAF [Artist Targeting],The Phalanx,Trivium,987
2021 - Joel Corry - I Wish,I Wish,Joel Corry,997
2021 The War On Drugs - I Don't Live Here Anymore,I Don't Live Here Anymore,The War On Drugs,1007
WrRE - Gang of Youths - The Man Himself - P1 - R - 0062L00000VIUsuQAH [United States],the man himself,Gang Of Youths,1017
2503| WMA ADS | MA | FLEETWOOD MAC | CATALOGUE | P067775 | INT,Intro,Fleetwood Mac,1027
Jireel - Dagar i regn,Dagar i regn,Jireel,1037
2021 Ed Sheeran - Overpass Graffiti,Overpass Graffiti,Ed Sheeran,1047
2611 | WMA ADS | TH | LED ZEP | LZIV ANNIVERSARY | P067939,Sanni,SANNI,1057
BgBt - Minelli - Nothing Hurts - P1 - R - 0062L00000WCtOTQA1 [United States],Nothing Hurts,Minelli,1067
[Animated Artwork] Atln - Charlotte Cardin - Phoenix - P1 - R - 0062L00000VI3m4QAD,Scorpio Season,Charlotte Cardin,1068
Atln - Kenndog - Beethoven (Remix feat. YN Jay) - P1 - R - 0062L00000VJPbgQAH [Global],Beethoven,Kenndog,1069
[Discovery] WrRE - Benson Boone - GHOST TOWN [Respend] - P2 - R - 0062L00000WCZgpQAH [United States],Ghost Town,Benson Boone,1070
